slip,lateral_force
[0.064],[144.32]
[0.066],[145.51]
[0.063],[144.61]
[0.066],[142.44]
[0.064],[140.69]
[0.069],[141.15]
[0.063],[143.63]
[0.066],[146.98]
[0.064],[145.06]
[0.051],[142.56]
[0.067],[139.98]
[0.072],[138.41]
[0.063],[142.4]
[0.061],[146.97]
[0.066],[146.01]
[0.061],[141.8]
[0.07],[137.83]
[0.07],[138.61]
[0.061],[142.61]
[0.066],[145.65]
[0.069],[144.42]
[0.07],[140.95]
[0.069],[138.97]
[0.072],[139.38]
[0.069],[144.08]
[0.064],[147.1]
[0.063],[145.75]
[0.07],[142.34]
[0.07],[141.22]
[0.061],[140.06]
[0.066],[143.06]
[0.072],[146.5]
[0.061],[146.24]
[0.066],[143.7]
[0.067],[141.29]
[0.061],[138.91]
[0.069],[142.33]
[0.067],[146.7]
[0.069],[147.01]
[0.07],[143.54]
[0.069],[141.67]
[0.066],[139.52]
[0.053],[143.15]
[0.066],[145.39]
[0.063],[145.7]
[-3.932],[1114.76]
[-3.935],[1135.86]
[-3.937],[1135.84]
[-3.94],[1114.43]
[-3.935],[1102.6]
[-3.935],[1100.91]
[-3.935],[1112.02]
[-3.935],[1130.83]
[-3.935],[1134.83]
[-3.932],[1117.59]
[-3.931],[1105.21]
[-3.943],[1100.29]
[-3.943],[1108.63]
[-3.94],[1128.03]
[-3.941],[1137.72]
[-3.932],[1123.06]
[-3.94],[1105.79]
[-3.941],[1099.34]
[-3.943],[1106.36]
[-3.932],[1130.24]
[-3.934],[1141.31]
[-3.94],[1125.29]
[-3.943],[1105.92]
[-3.932],[1100.06]
[-3.932],[1109.18]
[-3.932],[1128.94]
[-3.944],[1138.71]
[-3.934],[1127.41]
[-3.935],[1109.92]
[-3.934],[1103.52]
[-3.934],[1110.17]
[-3.934],[1127.89]
[-3.94],[1140.82]
[-3.94],[1129.94]
[-3.94],[1110.32]
[-3.934],[1105.08]
[-3.934],[1108.03]
[-3.943],[1123.18]
[-3.937],[1139.74]
[-3.943],[1133.57]
[-3.94],[1116.14]
[-3.935],[1104.5]
[-3.937],[1102.59]
[-3.929],[1120.95]
[-3.941],[1140.6]
[-3.928],[1136.42]
[-3.935],[1115.21]
[-3.938],[1101.67]
[-3.94],[1104.48]
[-3.938],[1120.86]
[-3.943],[1139.89]
[-3.944],[1137.81]
[-3.94],[1116.62]
[-3.94],[1104.6]
[-3.935],[1104.88]
[-3.935],[1120.47]
[-3.932],[1140.63]
[-3.932],[1142.74]
[-3.919],[1124.11]
[-3.897],[1108.27]
[-3.88],[1103.82]
[-3.843],[1116.89]
[-3.815],[1135.33]
[-3.771],[1138.16]
[-3.736],[1119.6]
[-3.701],[1102.7]
[-3.662],[1090.16]
[-3.617],[1093.53]
[-3.587],[1111.11]
[-3.539],[1121.06]
[-3.495],[1102.16]
[-3.437],[1079.42]
[-3.375],[1067.]
[-3.308],[1068.36]
[-3.248],[1080.57]
[-3.182],[1083.34]
[-3.106],[1067.76]
[-3.033],[1043.44]
[-2.954],[1029.63]
[-2.872],[1023.7]
[-2.794],[1024.88]
[-2.71],[1025.66]
[-2.633],[1010.61]
[-2.545],[989.74]
[-2.463],[972.98]
[-2.378],[957.32]
[-2.308],[949.47]
[-2.228],[946.1]
[-2.143],[935.41]
[-2.052],[913.5]
[-1.975],[887.54]
[-1.887],[867.27]
[-1.813],[851.99]
[-1.718],[841.64]
[-1.646],[830.55]
[-1.56],[805.67]
[-1.478],[778.67]
[-1.393],[750.79]
[-1.314],[729.88]
[-1.228],[723.01]
[-1.142],[708.35]
[-1.057],[678.79]
[-0.981],[644.69]
[-0.883],[619.66]
[-0.808],[596.63]
[-0.721],[580.76]
[-0.645],[554.54]
[-0.566],[523.85]
[-0.482],[495.66]
[-0.401],[468.85]
[-0.32],[445.17]
[-0.246],[410.88]
[-0.159],[385.59]
[-0.075],[359.35]
[0.007],[333.38]
[0.086],[300.55]
[0.155],[260.48]
[0.23],[225.66]
[0.313],[198.06]
[0.389],[174.75]
[0.472],[142.54]
[0.558],[101.32]
[0.632],[63.52]
[0.71],[34.76]
[0.795],[4.51]
[0.886],[-24.57]
[0.953],[-65.98]
[1.036],[-104.49]
[1.108],[-133.03]
[1.19],[-160.66]
[1.279],[-185.9]
[1.357],[-227.73]
[1.438],[-261.05]
[1.529],[-281.53]
[1.612],[-303.57]
[1.683],[-336.88]
[1.763],[-375.87]
[1.838],[-402.62]
[1.924],[-416.19]
[2.],[-427.72]
[2.085],[-451.66]
[2.162],[-487.66]
[2.25],[-518.99]
[2.327],[-532.19]
[2.415],[-538.36]
[2.497],[-552.36]
[2.576],[-572.96]
[2.65],[-606.85]
[2.729],[-631.39]
[2.811],[-640.99]
[2.896],[-642.32]
[2.981],[-647.41]
[3.07],[-665.36]
[3.144],[-691.76]
[3.22],[-717.79]
[3.312],[-724.71]
[3.39],[-724.9]
[3.466],[-723.96]
[3.555],[-729.3]
[3.634],[-759.59]
[3.725],[-795.81]
[3.809],[-804.04]
[3.886],[-788.82]
[3.97],[-775.03]
[4.059],[-780.18]
[4.134],[-826.17]
[4.214],[-863.]
[4.295],[-861.85]
[4.378],[-832.67]
[4.45],[-820.13]
[4.535],[-833.73]
[4.618],[-873.92]
[4.701],[-913.82]
[4.79],[-901.]
[4.862],[-875.56]
[4.951],[-860.3]
[5.03],[-871.33]
[5.105],[-914.95]
[5.182],[-954.22]
[5.267],[-946.57]
[5.358],[-914.95]
[5.434],[-903.33]
[5.523],[-909.86]
[5.597],[-948.75]
[5.681],[-981.88]
[5.765],[-977.37]
[5.844],[-949.12]
[5.923],[-934.87]
[6.008],[-929.71]
[6.086],[-965.95]
[6.169],[-1009.95]
[6.252],[-1005.26]
[6.341],[-969.62]
[6.425],[-948.27]
[6.502],[-944.07]
[6.584],[-978.66]
[6.661],[-1027.99]
[6.745],[-1023.72]
[6.828],[-981.7]
[6.898],[-957.82]
[6.986],[-946.5]
[7.071],[-984.9]
[7.157],[-1034.18]
[7.24],[-1031.39]
[7.321],[-984.06]
[7.401],[-957.48]
[7.479],[-953.91]
[7.561],[-991.04]
[7.644],[-1037.42]
[7.732],[-1035.27]
[7.816],[-998.43]
[7.892],[-976.07]
[7.989],[-967.19]
[8.066],[-991.69]
[8.151],[-1026.15]
[8.229],[-1034.78]
[8.312],[-1005.84]
[8.389],[-978.03]
[8.467],[-967.19]
[8.543],[-979.37]
[8.633],[-1028.06]
[8.718],[-1049.33]
[8.794],[-1026.06]
[8.878],[-989.07]
[8.957],[-967.83]
[9.027],[-969.23]
[9.106],[-1011.24]
[9.188],[-1045.81]
[9.272],[-1026.5]
[9.361],[-981.4]
[9.445],[-955.93]
[9.538],[-964.03]
[9.62],[-1004.22]
[9.714],[-1028.28]
[9.804],[-1008.43]
[9.877],[-975.85]
[9.962],[-964.09]
[10.044],[-965.03]
[10.12],[-987.19]
[10.203],[-1013.45]
[10.287],[-1009.25]
[10.372],[-979.64]
[10.456],[-960.91]
[10.534],[-954.06]
[10.604],[-972.04]
[10.686],[-1005.69]
[10.755],[-1014.64]
[10.839],[-990.04]
[10.917],[-966.4]
[10.994],[-951.41]
[11.083],[-953.54]
[11.173],[-993.23]
[11.249],[-1015.84]
[11.336],[-998.75]
[11.42],[-967.35]
[11.504],[-944.34]
[11.588],[-950.04]
[11.667],[-988.26]
[11.743],[-1015.73]
[11.819],[-993.66]
[11.906],[-960.82]
[11.987],[-953.19]
[12.069],[-958.88]
[12.155],[-981.72]
[12.237],[-999.56]
[12.313],[-986.86]
[12.387],[-966.24]
[12.469],[-951.57]
[12.55],[-942.61]
[12.621],[-955.65]
[12.668],[-985.32]
[12.703],[-980.94]
[12.709],[-961.03]
[12.703],[-972.5]
[12.681],[-984.25]
[12.637],[-965.14]
[12.58],[-952.6]
[12.513],[-965.46]
[12.439],[-987.83]
[12.37],[-991.88]
[12.292],[-959.38]
[12.225],[-931.76]
[12.148],[-967.07]
[12.067],[-1012.77]
[11.99],[-1007.44]
[11.901],[-975.78]
[11.811],[-955.49]
[11.716],[-948.21]
[11.636],[-968.46]
[11.544],[-1002.13]
[11.452],[-1014.77]
[11.363],[-987.13]
[11.266],[-952.6]
[11.173],[-936.13]
[11.092],[-972.3]
[11.005],[-1022.99]
[10.918],[-1021.44]
[10.845],[-979.06]
[10.762],[-960.61]
[10.684],[-974.62]
[10.604],[-987.55]
[10.534],[-1000.44]
[10.455],[-1010.59]
[10.374],[-1009.98]
[10.287],[-1001.96]
[10.215],[-984.95]
[10.138],[-971.89]
[10.054],[-1003.87]
[9.975],[-1038.63]
[9.895],[-1030.42]
[9.806],[-1004.86]
[9.727],[-984.57]
[9.632],[-977.7]
[9.546],[-1010.93]
[9.461],[-1043.13]
[9.382],[-1047.2]
[9.296],[-1020.77]
[9.211],[-993.11]
[9.142],[-983.89]
[9.068],[-1014.47]
[8.995],[-1057.45]
[8.924],[-1053.77]
[8.851],[-1021.65]
[8.775],[-1005.62]
[8.707],[-1007.86]
[8.629],[-1032.88]
[8.555],[-1055.44]
[8.468],[-1054.3]
[8.394],[-1037.87]
[8.315],[-1016.28]
[8.226],[-1010.4]
[8.138],[-1012.5]
[8.052],[-1045.55]
[7.974],[-1070.32]
[7.891],[-1057.88]
[7.808],[-1034.62]
[7.726],[-1010.6]
[7.647],[-1014.95]
[7.571],[-1057.52]
[7.486],[-1091.77]
[7.398],[-1079.51]
[7.309],[-1047.25]
[7.227],[-1026.16]
[7.138],[-1023.35]
[7.053],[-1055.85]
[6.979],[-1087.26]
[6.897],[-1082.87]
[6.822],[-1053.6]
[6.748],[-1031.11]
[6.672],[-1022.44]
[6.584],[-1042.21]
[6.511],[-1068.76]
[6.426],[-1068.39]
[6.347],[-1047.63]
[6.261],[-1031.94]
[6.182],[-1017.26]
[6.106],[-1020.65]
[6.027],[-1046.03]
[5.944],[-1058.76]
[5.866],[-1044.46]
[5.789],[-1017.32]
[5.707],[-993.12]
[5.621],[-995.48]
[5.534],[-1033.21]
[5.451],[-1052.15]
[5.36],[-1029.28]
[5.277],[-998.94]
[5.207],[-977.19]
[5.124],[-977.89]
[5.042],[-1005.15]
[4.967],[-1016.99]
[4.885],[-998.55]
[4.805],[-970.66]
[4.729],[-951.58]
[4.643],[-942.97]
[4.57],[-962.45]
[4.491],[-976.3]
[4.415],[-962.64]
[4.336],[-941.56]
[4.249],[-919.45]
[4.163],[-906.59]
[4.087],[-911.25]
[3.998],[-924.32]
[3.924],[-919.79]
[3.834],[-903.84]
[3.761],[-874.09]
[3.679],[-853.73]
[3.599],[-857.61]
[3.517],[-875.9]
[3.44],[-877.23]
[3.358],[-850.56]
[3.286],[-821.88]
[3.198],[-799.69]
[3.115],[-795.82]
[3.036],[-807.62]
[2.959],[-808.24]
[2.881],[-781.74]
[2.798],[-753.47]
[2.72],[-732.64]
[2.639],[-720.01]
[2.555],[-715.81]
[2.473],[-707.55]
[2.389],[-692.61]
[2.311],[-665.19]
[2.232],[-640.24]
[2.146],[-617.25]
[2.077],[-602.24]
[2.],[-591.84]
[1.918],[-578.93]
[1.843],[-553.99]
[1.756],[-523.44]
[1.678],[-497.85]
[1.589],[-479.92]
[1.51],[-465.45]
[1.427],[-444.83]
[1.345],[-416.68]
[1.27],[-384.1]
[1.169],[-356.78]
[1.098],[-336.22]
[1.013],[-314.54]
[0.941],[-288.6]
[0.852],[-258.42]
[0.776],[-228.66]
[0.69],[-200.7]
[0.611],[-173.5]
[0.535],[-139.76]
[0.447],[-108.82]
[0.377],[-78.66]
[0.294],[-51.85]
[0.212],[-19.93]
[0.134],[15.28]
[0.05],[48.32]
[-0.039],[81.59]
[-0.114],[113.11]
[-0.197],[144.45]
[-0.27],[179.07]
[-0.355],[213.72]
[-0.436],[246.12]
[-0.523],[279.]
[-0.604],[315.27]
[-0.69],[347.87]
[-0.77],[380.35]
[-0.854],[409.83]
[-0.94],[440.59]
[-1.019],[472.89]
[-1.099],[508.13]
[-1.171],[537.75]
[-1.257],[562.05]
[-1.34],[580.58]
[-1.418],[609.63]
[-1.506],[645.46]
[-1.58],[673.92]
[-1.659],[688.84]
[-1.745],[703.44]
[-1.835],[725.93]
[-1.905],[752.92]
[-1.979],[782.13]
[-2.06],[803.51]
[-2.143],[816.19]
[-2.222],[826.63]
[-2.302],[840.33]
[-2.381],[864.65]
[-2.472],[893.55]
[-2.551],[912.36]
[-2.636],[918.14]
[-2.712],[923.48]
[-2.808],[940.52]
[-2.88],[966.07]
[-2.96],[986.22]
[-3.054],[1000.91]
[-3.133],[1005.58]
[-3.219],[1013.37]
[-3.31],[1023.09]
[-3.381],[1039.66]
[-3.466],[1067.63]
[-3.53],[1082.79]
[-3.602],[1084.34]
[-3.675],[1079.4]
[-3.739],[1082.1]
[-3.818],[1103.03]
[-3.907],[1127.91]
[-4.],[1142.23]
[-4.084],[1131.89]
[-4.171],[1123.4]
[-4.252],[1126.58]
[-4.334],[1147.4]
[-4.409],[1173.55]
[-4.486],[1181.9]
[-4.556],[1167.17]
[-4.634],[1153.4]
[-4.709],[1153.08]
[-4.79],[1175.59]
[-4.868],[1199.91]
[-4.956],[1205.68]
[-5.029],[1186.61]
[-5.116],[1172.27]
[-5.191],[1176.17]
[-5.276],[1192.4]
[-5.353],[1209.73]
[-5.436],[1216.2]
[-5.524],[1202.26]
[-5.608],[1190.62]
[-5.691],[1193.02]
[-5.771],[1196.33]
[-5.846],[1216.92]
[-5.929],[1233.84]
[-6.002],[1215.4]
[-6.087],[1196.99]
[-6.162],[1196.32]
[-6.24],[1200.96]
[-6.318],[1218.62]
[-6.409],[1235.37]
[-6.486],[1225.38]
[-6.572],[1205.35]
[-6.656],[1198.22]
[-6.745],[1203.52]
[-6.827],[1222.75]
[-6.911],[1237.42]
[-6.992],[1229.43]
[-7.075],[1212.9]
[-7.153],[1204.28]
[-7.232],[1206.33]
[-7.316],[1223.84]
[-7.391],[1235.07]
[-7.47],[1228.39]
[-7.55],[1212.07]
[-7.635],[1206.73]
[-7.708],[1204.48]
[-7.794],[1219.48]
[-7.875],[1239.24]
[-7.958],[1237.94]
[-8.049],[1218.25]
[-8.134],[1208.36]
[-8.215],[1205.89]
[-8.293],[1217.45]
[-8.378],[1233.64]
[-8.457],[1235.51]
[-8.53],[1219.63]
[-8.61],[1209.26]
[-8.693],[1203.2]
[-8.769],[1208.65]
[-8.857],[1225.1]
[-8.938],[1237.61]
[-9.019],[1223.97]
[-9.103],[1207.63]
[-9.183],[1207.53]
[-9.259],[1213.71]
[-9.342],[1225.15]
[-9.424],[1235.]
[-9.503],[1222.54]
[-9.588],[1204.8]
[-9.67],[1199.2]
[-9.755],[1200.51]
[-9.838],[1214.24]
[-9.917],[1225.13]
[-10.005],[1222.34]
[-10.081],[1204.99]
[-10.152],[1197.77]
[-10.231],[1198.19]
[-10.316],[1207.58]
[-10.404],[1222.28]
[-10.484],[1224.47]
[-10.566],[1207.53]
[-10.658],[1197.62]
[-10.737],[1192.91]
[-10.817],[1199.24]
[-10.896],[1215.71]
[-10.967],[1221.89]
[-11.048],[1208.98]
[-11.126],[1192.52]
[-11.203],[1189.97]
[-11.29],[1197.14]
[-11.366],[1212.19]
[-11.452],[1221.3]
[-11.531],[1207.18]
[-11.611],[1192.51]
[-11.687],[1187.74]
[-11.765],[1191.69]
[-11.844],[1203.3]
[-11.925],[1216.74]
[-12.003],[1212.04]
[-12.089],[1197.97]
[-12.174],[1188.72]
[-12.257],[1184.03]
[-12.357],[1193.85]
[-12.415],[1206.44]
[-12.499],[1211.42]
[-12.57],[1201.48]
[-12.651],[1190.74]
[-12.718],[1182.08]
[-12.781],[1183.97]
[-12.814],[1195.07]
[-12.827],[1195.71]
[-12.819],[1179.67]
[-12.779],[1169.88]
[-12.728],[1173.32]
[-12.678],[1178.62]
[-12.614],[1186.81]
[-12.547],[1195.2]
[-12.485],[1185.65]
[-12.402],[1176.66]
[-12.348],[1177.37]
[-12.272],[1174.13]
[-12.184],[1178.4]
[-12.105],[1190.]
[-12.019],[1198.91]
[-11.927],[1190.98]
[-11.845],[1179.48]
[-11.765],[1169.96]
[-11.67],[1174.87]
[-11.585],[1195.56]
[-11.503],[1209.46]
[-11.395],[1197.09]
[-11.301],[1180.13]
[-11.206],[1171.93]
[-11.123],[1181.21]
[-11.028],[1199.73]
[-10.952],[1207.51]
[-10.872],[1195.11]
[-10.791],[1180.64]
[-10.696],[1181.53]
[-10.603],[1182.63]
[-10.516],[1189.28]
[-10.433],[1198.13]
[-10.341],[1196.55]
[-10.262],[1187.51]
[-10.183],[1182.62]
[-10.104],[1179.01]
[-10.025],[1189.53]
[-9.951],[1208.47]
[-9.863],[1212.27]
[-9.79],[1191.66]
[-9.701],[1176.21]
[-9.625],[1166.76]
[-9.537],[1176.52]
[-9.456],[1200.48]
[-9.385],[1208.15]
[-9.307],[1189.77]
[-9.237],[1174.81]
[-9.158],[1172.11]
[-9.072],[1180.08]
[-8.995],[1197.28]
[-8.908],[1205.41]
[-8.832],[1194.1]
[-8.747],[1180.88]
[-8.671],[1178.2]
[-8.593],[1182.76]
[-8.524],[1194.95]
[-8.454],[1202.13]
[-8.376],[1195.61]
[-8.306],[1182.22]
[-8.226],[1175.98]
[-8.145],[1170.94]
[-8.071],[1187.75]
[-7.986],[1207.18]
[-7.911],[1207.25]
[-7.834],[1189.79]
[-7.756],[1176.48]
[-7.677],[1173.84]
[-7.59],[1190.33]
[-7.512],[1207.37]
[-7.427],[1204.61]
[-7.349],[1183.47]
[-7.268],[1173.75]
[-7.189],[1178.56]
[-7.107],[1189.]
[-7.031],[1200.45]
[-6.954],[1204.79]
[-6.876],[1192.52]
[-6.789],[1187.27]
[-6.705],[1188.2]
[-6.619],[1189.19]
[-6.524],[1195.85]
[-6.444],[1205.63]
[-6.36],[1196.21]
[-6.276],[1178.47]
[-6.202],[1169.42]
[-6.118],[1171.19]
[-6.046],[1186.83]
[-5.96],[1203.1]
[-5.885],[1194.13]
[-5.8],[1168.13]
[-5.71],[1156.15]
[-5.632],[1163.81]
[-5.542],[1182.23]
[-5.458],[1196.2]
[-5.382],[1186.23]
[-5.303],[1156.3]
[-5.226],[1148.12]
[-5.137],[1158.16]
[-5.061],[1167.87]
[-4.979],[1173.1]
[-4.896],[1162.63]
[-4.812],[1150.72]
[-4.735],[1144.56]
[-4.656],[1139.32]
[-4.584],[1139.93]
[-4.513],[1151.65]
[-4.44],[1153.77]
[-4.358],[1138.82]
[-4.283],[1120.]
[-4.194],[1108.49]
[-4.096],[1108.47]
[-4.001],[1125.67]
[-3.921],[1133.82]
[-3.833],[1113.46]
[-3.751],[1088.97]
[-3.671],[1074.83]
[-3.602],[1077.75]
[-3.529],[1092.8]
[-3.451],[1096.68]
[-3.381],[1073.35]
[-3.298],[1046.29]
[-3.22],[1038.81]
[-3.128],[1036.85]
[-3.051],[1036.74]
[-2.962],[1034.44]
[-2.887],[1016.99]
[-2.802],[998.94]
[-2.731],[985.79]
[-2.646],[972.28]
[-2.557],[960.62]
[-2.481],[958.72]
[-2.392],[955.86]
[-2.311],[933.92]
[-2.231],[907.69]
[-2.163],[888.13]
[-2.089],[876.63]
[-2.009],[870.96]
[-1.924],[863.12]
[-1.849],[844.88]
[-1.764],[817.09]
[-1.675],[789.83]
[-1.595],[776.84]
[-1.509],[767.41]
[-1.438],[758.19]
[-1.351],[730.73]
[-1.279],[698.27]
[-1.2],[676.49]
[-1.129],[660.64]
[-1.038],[646.3]
[-0.957],[618.81]
[-0.884],[597.12]
[-0.797],[577.61]
[-0.722],[551.8]
[-0.649],[523.21]
[-0.563],[497.48]
[-0.49],[476.75]
[-0.412],[454.06]
[-0.327],[430.8]
[-0.251],[398.87]
[-0.172],[365.23]
[-0.08],[336.81]
[-0.006],[311.3]
[0.075],[285.73]
[0.155],[256.68]
[0.234],[215.97]
[0.311],[178.42]
[0.395],[149.47]
[0.465],[123.16]
[0.548],[92.37]
[0.634],[55.4]
[0.719],[19.09]
[0.794],[-10.1]
[0.877],[-44.15]
[0.952],[-75.13]
[1.042],[-111.1]
[1.123],[-145.84]
[1.194],[-172.99]
[1.281],[-198.84]
[1.373],[-232.64]
[1.446],[-271.78]
[1.541],[-305.29]
[1.631],[-328.94]
[1.703],[-348.73]
[1.789],[-374.21]
[1.867],[-405.36]
[1.952],[-437.4]
[2.03],[-462.47]
[2.106],[-479.21]
[2.196],[-495.33]
[2.275],[-514.22]
[2.361],[-533.59]
[2.446],[-563.3]
[2.523],[-586.63]
[2.599],[-601.46]
[2.682],[-610.3]
[2.76],[-616.46]
[2.839],[-632.6]
[2.919],[-663.9]
[3.005],[-686.8]
[3.099],[-693.26]
[3.174],[-697.19]
[3.25],[-695.59]
[3.333],[-709.48]
[0.076],[136.95]
[0.069],[137.44]
[0.076],[135.64]
[0.072],[132.72]
[0.069],[132.58]
[0.069],[138.34]
[0.075],[140.33]
[0.075],[136.49]
[0.073],[133.98]
[0.072],[132.68]
[0.072],[134.35]
[0.066],[137.09]
[0.069],[139.]
[0.073],[139.37]
[0.073],[136.7]
[0.073],[131.97]
[0.066],[131.29]
[0.073],[137.32]
[0.066],[141.22]
[0.069],[137.06]
[0.061],[133.29]
[0.069],[132.54]
[0.069],[134.86]
[0.066],[138.16]
[0.072],[138.49]
[0.069],[137.62]
[0.069],[137.18]
[0.072],[134.65]
[0.066],[132.8]
[0.072],[135.01]
[0.066],[139.47]
[0.072],[140.45]
[0.064],[138.53]
[0.07],[131.55]
[0.064],[130.06]
[0.064],[136.45]
[0.075],[138.65]
[0.073],[137.86]
[0.066],[134.81]
[0.067],[133.6]
[0.072],[132.77]
[0.069],[133.91]
[0.067],[137.64]
[0.072],[138.18]
[0.076],[137.49]
